編號,課程名稱,學年,學期
1,英文專修學習,114,2
2,編譯器設計,114,2
3,人工智慧,114,2
4,平行程式設計,114,2
5,軟硬體專題(2),114,2
6,作業系統實務,114,2
7,物件導向軟體設計,114,2
8,Unix程式設計,114,1
9,軟硬體專題(1),114,1
10,軟體工程,114,1
11,計算機網路,114,1
12,微算機實驗,114,1
13,作業系統,114,1
14,計算機架構,114,1
15,英文專修學習,114,1
16,自然語言處理,113,2
17,道家思想導論與導讀,113,2
18,瘟癘瘴蠱,113,2
19,體育大二(2),113,2
20,機率與統計,113,2
21,系統程式,113,2
22,訊號與系統,113,2
23,資料結構與演算法(2),113,2
24,資料庫系統設計,113,2
25,英文專修學習,113,2
26,青年領袖論壇,113,1
27,個人理財與投資,113,1
28,經濟學與現代社會,113,1
29,Web應用程式開發,113,1
30,體育大二(1),113,1
31,線性代數,113,1
32,計算機組織,113,1
33,資料結構與演算法(1),113,1
34,工程數學,113,1
35,英文專修學習,113,1
36,大數據分析方法,113,1
37,體育大一(2),112,2
38,數位電路實驗,112,2
39,數位電路,112,2
40,微積分(2),112,2
41,離散數學,112,2
42,計算機概論(2),112,2
43,普通物理學實驗(2),112,2
44,普通物理學(2),112,2
45,基礎英文(B),112,2
46,英文專修學習,112,2
47,歌劇與歌劇院,112,2
48,基礎英文(A),112,1
49,英文專修學習,112,1
50,社會心理學,112,1
51,批判性思考：品德與幸福,112,1
52,體育大一(1),112,1
53,微積分(1),112,1
54,計算機概論(1),112,1
55,普通物理學實驗(1),112,1
56,普通物理學(1),112,1
57,人工智慧概論,112,1
